,Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
292,PRINCIPAL CLERK-ELECTIONS,BOARD OF ELECTION,F,Salary,,69564.0,
293,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,56304.0,
294,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,F,Salary,,100980.0,
295,FIREFIGHTER-EMT,FIRE,F,Salary,,95484.0,
296,POLICE OFFICER,POLICE,F,Salary,,76266.0,
297,POLICE OFFICER,POLICE,F,Salary,,93354.0,
298,OPERATING ENGINEER-GROUP A,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,50.71
299,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,94122.0,
300,WATER CHEMIST II,WATER MGMNT,F,Salary,,60120.0,
301,POLICE OFFICER,POLICE,F,Salary,,96060.0,
302,POLICE OFFICER,POLICE,F,Salary,,90024.0,
303,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,39.98
304,MOTOR TRUCK DRIVER,TRANSPORTN,F,Hourly,40.0,,36.45
305,POLICE OFFICER,POLICE,F,Salary,,87006.0,
306,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,F,Salary,,91338.0,
307,PUBLIC HEALTH NUTRITIONIST I,HEALTH,F,Salary,,42528.0,
308,SANITATION CLERK,STREETS & SAN,F,Salary,,47628.0,
309,TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,Hourly,20.0,,19.86
310,POLICE COMMUNICATIONS OPERATOR I,OEMC,F,Salary,,77520.0,
311,POLICE OFFICER,POLICE,F,Salary,,93354.0,
312,POLICE OFFICER,POLICE,F,Salary,,84054.0,
313,POLICE OFFICER,POLICE,F,Salary,,93354.0,
314,POLICE OFFICER,POLICE,F,Salary,,93354.0,
315,SENIOR COMPANION,FAMILY & SUPPORT,P,Hourly,20.0,,2.65
316,CHIEF VOUCHER EXPEDITER,FINANCE,F,Salary,,92136.0,
317,CIVIL ENGINEER IV,TRANSPORTN,F,Salary,,80628.0,
