,Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
1218,FIREFIGHTER-EMT,FIRE,F,Salary,,99324.0,
1219,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1220,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1221,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,15.22
1222,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,76266.0,
1223,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1224,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1225,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1226,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1227,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1228,GENERAL LABORER - DSS,STREETS & SAN,F,Hourly,40.0,,23.05
1229,PROGRAM DIR,DISABILITIES,F,Salary,,82788.0,
1230,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1231,FIREFIGHTER-EMT,FIRE,F,Salary,,95484.0,
1232,LIBRARY CLERK,PUBLIC LIBRARY,F,Salary,,30312.0,
1233,FIREFIGHTER-EMT,FIRE,F,Salary,,89148.0,
1234,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,91338.0,
1235,DEPUTY CORPORATION COUNSEL,LAW,F,Salary,,143976.0,
1236,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1237,MOTOR TRUCK DRIVER,PUBLIC LIBRARY,F,Hourly,40.0,,37.0
1238,PARAMEDIC,FIRE,F,Salary,,68616.0,
1239,POOL MOTOR TRUCK DRIVER,AVIATION,P,Hourly,10.0,,29.16
1240,SERGEANT,POLICE,F,Salary,,111474.0,
1241,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1242,CROSSING GUARD,OEMC,P,Hourly,20.0,,17.68
1243,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1244,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1245,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
1246,CONCRETE LABORER,TRANSPORTN,F,Hourly,40.0,,42.72
1247,CONCRETE LABORER,TRANSPORTN,F,Hourly,40.0,,42.72
1248,CHIEF AIRPORT OPERATIONS SUPVSR,AVIATION,F,Salary,,115656.0,
1249,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1250,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,94524.0,
1251,COMMANDER,POLICE,F,Salary,,162684.0,
1252,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1253,CONCRETE LABORER,TRANSPORTN,F,Hourly,40.0,,42.72
1254,ASST TO THE COMMISSIONER,WATER MGMNT,F,Salary,,76932.0,
1255,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,88296.0,
1256,CROSSING GUARD,OEMC,P,Hourly,20.0,,18.52
1257,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,56304.0,
1258,MOTOR TRUCK DRIVER,WATER MGMNT,F,Hourly,40.0,,36.45
1259,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1260,POLICE OFFICER,POLICE,F,Salary,,80016.0,
1261,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,F,Salary,,45876.0,
1262,COMMUNICATIONS OPERATOR I - 311,OEMC,F,Salary,,66612.0,
1263,CEMENT FINISHER,TRANSPORTN,F,Hourly,40.0,,45.25
1264,SERGEANT,POLICE,F,Salary,,104628.0,
1265,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1266,MOTOR TRUCK DRIVER - TIRE REPAIR,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,37.0
1267,POLICE OFFICER,POLICE,F,Salary,,76266.0,
1268,POLICY ANALYST,BUILDINGS,F,Salary,,91092.0,
1269,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
1270,LIEUTENANT-EMT,FIRE,F,Salary,,117996.0,
1271,POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER),POLICE,F,Salary,,94524.0,
1272,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1273,POOL MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
1274,FIELD SANITATION SPECIALIST,STREETS & SAN,F,Salary,,88008.0,
1275,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1276,ASST PAYROLL ADMINISTRATOR,FIRE,F,Salary,,67800.0,
1277,POOL MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,32.81
1278,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1279,CONCRETE LABORER,TRANSPORTN,F,Hourly,40.0,,42.72
1280,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1281,SUPERVISING DISEASE CONTROL INVESTIGATOR,HEALTH,F,Salary,,84024.0,
1282,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1283,FIRE MARSHAL-EMT,FIRE,F,Salary,,95484.0,
1284,TREE TRIMMER,STREETS & SAN,F,Hourly,40.0,,27.2
1285,FIREFIGHTER-EMT,FIRE,F,Salary,,84870.0,
1286,SERGEANT,POLICE,F,Salary,,104628.0,
1287,LIEUTENANT,POLICE,F,Salary,,123894.0,
1288,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1289,PROPERTY CUSTODIAN - AUTO POUND,STREETS & SAN,F,Salary,,63600.0,
1290,LIBRARIAN III,PUBLIC LIBRARY,F,Salary,,96360.0,
1291,POLICE OFFICER,POLICE,F,Salary,,80016.0,
1292,WATER CHEMIST II,WATER MGMNT,F,Salary,,65040.0,
1293,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1294,ASST CORPORATION COUNSEL SUPVSR,LAW,F,Salary,,98424.0,
1295,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1296,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1297,SERGEANT,POLICE,F,Salary,,101442.0,
1298,SR PROCUREMENT SPECIALIST,PROCUREMENT,F,Salary,,75408.0,
1299,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1300,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,76266.0,
1301,SERGEANT,POLICE,F,Salary,,104628.0,
1302,FILTRATION ENGINEER V,WATER MGMNT,F,Salary,,125484.0,
1303,MACHINIST (AUTOMOTIVE),FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,48.38
1304,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,94122.0,
1305,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,94122.0,
1306,POLICE OFFICER,POLICE,F,Salary,,68616.0,
1307,POLICE OFFICER,POLICE,F,Salary,,76266.0,
1308,ELECTRICAL MECHANIC,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,48.35
1309,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,F,Salary,,107952.0,
1310,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1311,POLICE OFFICER,POLICE,F,Salary,,68616.0,
1312,SERGEANT,POLICE,F,Salary,,107988.0,
1313,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1314,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1315,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1316,FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE,F,Salary,,103350.0,
1317,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1318,SERGEANT,POLICE,F,Salary,,111474.0,
1319,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1320,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1321,QUALITY MGMT ANALYST - COPA,COPA,F,Salary,,65040.0,
1322,ASST CHIEF OPERATING ENGINEER,AVIATION,F,Hourly,40.0,,55.78
1323,TREE TRIMMER,STREETS & SAN,F,Hourly,40.0,,38.86
1324,ASST TO THE MAYOR,MAYOR'S OFFICE,F,Salary,,125004.0,
1325,FILTRATION ENGINEER III,WATER MGMNT,F,Salary,,105108.0,
1326,POLICE OFFICER,POLICE,F,Salary,,96060.0,
1327,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1328,ANIMAL CARE CLERK - HOURLY,ANIMAL CONTRL,P,Hourly,20.0,,23.86
1329,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1330,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1331,LAW CLERK,LAW,F,Hourly,35.0,,14.95
1332,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,56304.0,
1333,AIRPORT OPERATIONS SUPVSR I,AVIATION,F,Salary,,72360.0,
1334,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1335,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1336,HUMAN RELATIONS SPECIALIST II,HUMAN RELATIONS,F,Salary,,96564.0,
1337,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1338,LABORER,TRANSPORTN,F,Hourly,40.0,,42.72
1339,DETENTION AIDE,POLICE,F,Salary,,77520.0,
1340,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1341,FIREFIGHTER-EMT,FIRE,F,Salary,,89148.0,
1342,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
1343,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,100980.0,
1344,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1345,CHIEF ASST CORPORATION COUNSEL,LAW,F,Salary,,130884.0,
1346,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,F,Salary,,105804.0,
1347,ASST CORPORATION COUNSEL SENIOR,LAW,F,Salary,,118500.0,
1348,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
1349,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
1350,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
1351,POLICE COMMUNICATIONS OPERATOR I,OEMC,F,Salary,,55260.0,
1352,COMMUNICATIONS OPERATOR I - 311,OEMC,F,Salary,,73104.0,
1353,DIR OF ADMINISTRATION I,HEALTH,F,Salary,,72744.0,
1354,GENERAL LABORER - DSS,STREETS & SAN,F,Hourly,40.0,,21.73
1355,STAFF ASST,FINANCE,F,Salary,,92136.0,
1356,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1357,POLICE OFFICER,POLICE,F,Salary,,96060.0,
1358,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1359,LIBRARIAN I,PUBLIC LIBRARY,F,Salary,,79836.0,
1360,CEMENT FINISHER,TRANSPORTN,F,Hourly,40.0,,45.25
1361,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1362,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1363,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1364,CAPTAIN,POLICE,F,Salary,,136170.0,
1365,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,56304.0,
1366,POLICE OFFICER,POLICE,F,Salary,,76266.0,
1367,LIEUTENANT,POLICE,F,Salary,,120252.0,
1368,POLICE OFFICER,POLICE,F,Salary,,68616.0,
1369,POLICE ADMINISTRATIVE CLERK,POLICE,F,Salary,,45516.0,
1370,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1371,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1372,FINANCE OFFICER,CULTURAL AFFAIRS,F,Salary,,95388.0,
1373,POLICE OFFICER,POLICE,F,Salary,,68616.0,
1374,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1375,DISTRICT MANAGER - HUMAN SERVICES,FAMILY & SUPPORT,F,Salary,,100668.0,
1376,POOL MOTOR TRUCK DRIVER,STREETS & SAN,P,Hourly,10.0,,29.16
1377,GENERAL LABORER - DSS,STREETS & SAN,F,Hourly,40.0,,21.73
1378,ACCOUNTING TECHNICIAN II,FINANCE,F,Salary,,80232.0,
1379,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,91080.0,
1380,SUPPORT SERVICES COORD,FAMILY & SUPPORT,F,Salary,,76584.0,
1381,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,98052.0,
1382,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1383,GENERAL LABORER - DSS,STREETS & SAN,F,Hourly,40.0,,23.74
1384,STAFF ASST,BUILDINGS,F,Salary,,96564.0,
1385,PARAMEDIC,FIRE,F,Salary,,90024.0,
1386,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1387,FIREFIGHTER-EMT,FIRE,F,Salary,,95484.0,
1388,CEMENT FINISHER,TRANSPORTN,F,Hourly,40.0,,45.25
1389,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1390,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
1391,FIREFIGHTER-EMT,FIRE,F,Salary,,95484.0,
1392,POLICE OFFICER,POLICE,F,Salary,,96060.0,
1393,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1394,FLEET SERVICES SUPVSR,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,25.88
1395,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1396,SERGEANT,POLICE,F,Salary,,107988.0,
1397,FIREFIGHTER,FIRE,F,Salary,,93666.0,
1398,CROSSING GUARD,OEMC,P,Hourly,20.0,,18.52
1399,LIEUTENANT,POLICE,F,Salary,,127692.0,
1400,POLICE OFFICER,POLICE,F,Salary,,96060.0,
1401,PARALEGAL II,LAW,F,Salary,,88044.0,
1402,CLERK III,POLICE,F,Salary,,60744.0,
1403,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
1404,ELECTRICAL MECHANIC (AUTOMOTIVE),FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,48.35
1405,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1406,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1407,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
1408,TIMEKEEPER - CPD,POLICE,F,Salary,,43920.0,
1409,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,18.22
1410,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1411,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,P,Hourly,20.0,,26.18
1412,POOL MOTOR TRUCK DRIVER,STREETS & SAN,P,Hourly,10.0,,36.45
1413,HOUSE DRAIN INSPECTOR,WATER MGMNT,F,Salary,,108630.0,
1414,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1415,POLICE CADET,POLICE,P,Hourly,35.0,,12.0
1416,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,13.94
1417,FIREFIGHTER-EMT,FIRE,F,Salary,,84870.0,
1418,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
1419,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1420,CLERK - BD OF ELECTIONS,BOARD OF ELECTION,F,Salary,,29328.0,
1421,GENERAL LABORER - AVIATION,AVIATION,F,Hourly,40.0,,22.05
1422,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1423,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,97440.0,
1424,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1425,CAPTAIN-EMT,FIRE,F,Salary,,136794.0,
1426,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1427,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
1428,WATER RATE TAKER,WATER MGMNT,F,Salary,,60108.0,
1429,MOTOR TRUCK DRIVER,TRANSPORTN,F,Hourly,40.0,,36.45
1430,PROJECT MANAGER - DOIT,DoIT,F,Salary,,101196.0,
1431,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1432,TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,Hourly,20.0,,19.86
1433,STAFF ASST,FIRE,F,Salary,,96564.0,
1434,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
1435,SENIOR PERFORMANCE ANALYST,INSPECTOR GEN,F,Salary,,75408.0,
1436,POLICE OFFICER,POLICE,F,Salary,,68616.0,
1437,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1438,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1439,POLICE OFFICER,POLICE,F,Salary,,96060.0,
1440,MOTOR TRUCK DRIVER,WATER MGMNT,F,Hourly,40.0,,36.45
1441,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1442,POLICE OFFICER,POLICE,F,Salary,,48078.0,
1443,CLERK CITY COUNCIL,CITY COUNCIL,F,Salary,,25764.0,
1444,POLICE OFFICER,POLICE,F,Salary,,96060.0,
1445,SERGEANT,POLICE,F,Salary,,104628.0,
1446,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,91080.0,
1447,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1448,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,F,Salary,,94524.0,
1449,POLICE OFFICER,POLICE,F,Salary,,90024.0,
1450,CROSSING GUARD,OEMC,P,Hourly,20.0,,16.88
1451,REHABILITATION CONSTRUCTION SPECIALIST,HOUSING,F,Salary,,63660.0,
1452,STAFF ASST,TRANSPORTN,F,Salary,,96564.0,
1453,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
1454,POLICE COMMUNICATIONS OPERATOR II,OEMC,F,Salary,,70644.0,
1455,HEAD LIBRARY CLERK,PUBLIC LIBRARY,F,Salary,,73104.0,
1456,POLICE OFFICER,POLICE,F,Salary,,96060.0,
1457,POLICE OFFICER,POLICE,F,Salary,,93354.0,
1458,CONSTRUCTION LABORER,AVIATION,F,Hourly,40.0,,42.72
1459,SANITARIAN II,HEALTH,F,Salary,,84024.0,
1460,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
1461,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
1462,POLICE ADMINISTRATIVE CLERK,POLICE,F,Salary,,43428.0,
1463,TRAFFIC CONTROL AIDE,OEMC,F,Salary,,64392.0,
1464,LIBRARIAN I,PUBLIC LIBRARY,F,Salary,,79836.0,
1465,DATA ENTRY OPERATOR,POLICE,F,Salary,,48132.0,
1466,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
1467,POLICE OFFICER,POLICE,F,Salary,,87006.0,
1468,LABORER,AVIATION,F,Hourly,40.0,,37.09
1469,LIEUTENANT,POLICE,F,Salary,,123894.0,
1470,POLICE OFFICER,POLICE,F,Salary,,80016.0,
1471,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1472,POLICE OFFICER,POLICE,F,Salary,,80016.0,
1473,CROSSING GUARD,OEMC,P,Hourly,20.0,,22.36
1474,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
1475,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1476,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
1477,LABORER,TRANSPORTN,F,Hourly,40.0,,42.72
1478,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1479,POOL MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
1480,LIEUTENANT-EMT,FIRE,F,Salary,,114324.0,
1481,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
1482,PAYMENT SERVICES REPRESENTATIVE,FINANCE,F,Salary,,63600.0,
1483,CROSSING GUARD,OEMC,P,Hourly,20.0,,22.36
1484,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,F,Salary,,105804.0,
1485,CAPTAIN-EMT,FIRE,F,Salary,,136794.0,
1486,SERGEANT,POLICE,F,Salary,,107988.0,
1487,CIVIL ENGINEER III,WATER MGMNT,F,Salary,,105108.0,
1488,CROSSING GUARD,OEMC,P,Hourly,20.0,,17.68
1489,MANAGER OF VEHICLE MAINTENANCE,FLEET & FACILITY MANAGEMENT,F,Salary,,96096.0,
1490,EMERGENCY CREW DISPATCHER,WATER MGMNT,F,Hourly,40.0,,42.72
1491,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,76266.0,
1492,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1493,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,84054.0,
1494,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,100980.0,
1495,SERGEANT,POLICE,F,Salary,,107988.0,
1496,POLICE OFFICER,POLICE,F,Salary,,84054.0,
1497,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
1498,POLICE OFFICER,POLICE,F,Salary,,72510.0,
1499,POLICE OFFICER,POLICE,F,Salary,,93354.0,
